id,phase,intel,speaker,cognitive_skills,standard_score
59,pretest,41.7721519,AM1,card_sort_c,93
59,pretest,41.7721519,AM1,vocab_c,121
59,pretest,41.7721519,AM1,pattern_c,122
60,posttest,51.91489362,AM1,list_sort_c,112
60,posttest,51.91489362,AM1,flanker_c,81
60,posttest,51.91489362,AM1,card_sort_c,118
60,posttest,51.91489362,AM1,vocab_c,108
60,posttest,51.91489362,AM1,pattern_c,135
60,pretest,40.50632911,AM1,list_sort_c,112
60,pretest,40.50632911,AM1,flanker_c,81
60,pretest,40.50632911,AM1,card_sort_c,118
60,pretest,40.50632911,AM1,vocab_c,108
60,pretest,40.50632911,AM1,pattern_c,135
61,posttest,64.28571429,PDM10,list_sort_c,
61,posttest,64.28571429,PDM10,flanker_c,
61,posttest,64.28571429,PDM10,card_sort_c,
61,posttest,64.28571429,PDM10,vocab_c,
61,posttest,64.28571429,PDM10,pattern_c,
61,pretest,54.43037975,PDM10,list_sort_c,
61,pretest,54.43037975,PDM10,flanker_c,
61,pretest,54.43037975,PDM10,card_sort_c,
61,pretest,54.43037975,PDM10,vocab_c,
61,pretest,54.43037975,PDM10,pattern_c,
62,posttest,58.82352941,PDM10,list_sort_c,96
62,posttest,58.82352941,PDM10,flanker_c,113
62,posttest,58.82352941,PDM10,card_sort_c,117
62,posttest,58.82352941,PDM10,vocab_c,103
62,posttest,58.82352941,PDM10,pattern_c,134
62,pretest,44.30379747,PDM10,list_sort_c,96
62,pretest,44.30379747,PDM10,flanker_c,113
62,pretest,44.30379747,PDM10,card_sort_c,117
62,pretest,44.30379747,PDM10,vocab_c,103
62,pretest,44.30379747,PDM10,pattern_c,134
63,posttest,58.82352941,PDM10,list_sort_c,117
63,posttest,58.82352941,PDM10,flanker_c,64
63,posttest,58.82352941,PDM10,card_sort_c,95
63,posttest,58.82352941,PDM10,vocab_c,103
63,posttest,58.82352941,PDM10,pattern_c,84
63,pretest,53.16455696,PDM10,list_sort_c,117
63,pretest,53.16455696,PDM10,flanker_c,64
63,pretest,53.16455696,PDM10,card_sort_c,95
63,pretest,53.16455696,PDM10,vocab_c,103
63,pretest,53.16455696,PDM10,pattern_c,84
65,posttest,73.52941176,PDM10,list_sort_c,116
65,posttest,73.52941176,PDM10,flanker_c,92
65,posttest,73.52941176,PDM10,card_sort_c,115
65,posttest,73.52941176,PDM10,vocab_c,123
65,posttest,73.52941176,PDM10,pattern_c,138
65,pretest,59.49367089,PDM10,list_sort_c,116
65,pretest,59.49367089,PDM10,flanker_c,92
65,pretest,59.49367089,PDM10,card_sort_c,115
65,pretest,59.49367089,PDM10,vocab_c,123
65,pretest,59.49367089,PDM10,pattern_c,138
66,posttest,63.86554622,PDM10,list_sort_c,112
66,posttest,63.86554622,PDM10,flanker_c,70
66,posttest,63.86554622,PDM10,card_sort_c,90
66,posttest,63.86554622,PDM10,vocab_c,108
66,posttest,63.86554622,PDM10,pattern_c,69
66,pretest,55.69620253,PDM10,list_sort_c,112
66,pretest,55.69620253,PDM10,flanker_c,70
66,pretest,55.69620253,PDM10,card_sort_c,90
66,pretest,55.69620253,PDM10,vocab_c,108
66,pretest,55.69620253,PDM10,pattern_c,69
67,posttest,42.43697479,PDM10,list_sort_c,91
67,posttest,42.43697479,PDM10,flanker_c,97
67,posttest,42.43697479,PDM10,card_sort_c,107
67,posttest,42.43697479,PDM10,vocab_c,97
67,posttest,42.43697479,PDM10,pattern_c,118
67,pretest,48.10126582,PDM10,list_sort_c,91
67,pretest,48.10126582,PDM10,flanker_c,97
67,pretest,48.10126582,PDM10,card_sort_c,107
67,pretest,48.10126582,PDM10,vocab_c,97
67,pretest,48.10126582,PDM10,pattern_c,118
68,posttest,60.50420168,PDM10,list_sort_c,112
68,posttest,60.50420168,PDM10,flanker_c,129
68,posttest,60.50420168,PDM10,card_sort_c,117
68,posttest,60.50420168,PDM10,vocab_c,133
68,posttest,60.50420168,PDM10,pattern_c,123
68,pretest,54.43037975,PDM10,list_sort_c,112
68,pretest,54.43037975,PDM10,flanker_c,129
68,pretest,54.43037975,PDM10,card_sort_c,117
68,pretest,54.43037975,PDM10,vocab_c,133
68,pretest,54.43037975,PDM10,pattern_c,123
69,posttest,51.2605042,PDM10,list_sort_c,97
69,posttest,51.2605042,PDM10,flanker_c,94
69,posttest,51.2605042,PDM10,card_sort_c,115
69,posttest,51.2605042,PDM10,vocab_c,122
69,posttest,51.2605042,PDM10,pattern_c,138
69,pretest,37.97468354,PDM10,list_sort_c,97
69,pretest,37.97468354,PDM10,flanker_c,94
69,pretest,37.97468354,PDM10,card_sort_c,115
69,pretest,37.97468354,PDM10,vocab_c,122
69,pretest,37.97468354,PDM10,pattern_c,138
70,posttest,69.32773109,PDM10,list_sort_c,102
70,posttest,69.32773109,PDM10,flanker_c,86
70,posttest,69.32773109,PDM10,card_sort_c,107
70,posttest,69.32773109,PDM10,vocab_c,126
70,posttest,69.32773109,PDM10,pattern_c,129
70,pretest,65.82278481,PDM10,list_sort_c,102
70,pretest,65.82278481,PDM10,flanker_c,86
70,pretest,65.82278481,PDM10,card_sort_c,107
70,pretest,65.82278481,PDM10,vocab_c,126
70,pretest,65.82278481,PDM10,pattern_c,129
71,posttest,61.76470588,PDM10,list_sort_c,86
71,posttest,61.76470588,PDM10,flanker_c,108
71,posttest,61.76470588,PDM10,card_sort_c,124
71,posttest,61.76470588,PDM10,vocab_c,103
71,posttest,61.76470588,PDM10,pattern_c,107
71,pretest,54.43037975,PDM10,list_sort_c,86
71,pretest,54.43037975,PDM10,flanker_c,108
71,pretest,54.43037975,PDM10,card_sort_c,124
71,pretest,54.43037975,PDM10,vocab_c,103
